Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,21400.000000,21600.000000,21300.000000,21600.000000,17500.316406,13151350
2012-01-03,21860.000000,22100.000000,21840.000000,22100.000000,17905.416016,16927750
2012-01-04,22100.000000,22200.000000,21500.000000,21600.000000,17500.316406,17103700
2012-01-05,21460.000000,21580.000000,21100.000000,21100.000000,17095.216797,17298400
2012-01-06,21120.000000,21320.000000,20600.000000,20800.000000,16852.156250,18816250
2012-01-09,20800.000000,20820.000000,20300.000000,20320.000000,16463.261719,19283000
2012-01-10,20420.000000,20720.000000,20420.000000,20520.000000,16625.304688,20414800
2012-01-11,20340.000000,20480.000000,20280.000000,20420.000000,16544.281250,19110150
2012-01-12,20320.000000,20580.000000,20220.000000,20560.000000,16657.708984,18511000
2012-01-13,20560.000000,21000.000000,20520.000000,20920.000000,16949.384766,14630750
2012-01-16,20800.000000,20800.000000,20400.000000,20600.000000,16690.115234,11614950
2012-01-17,20820.000000,20960.000000,20480.000000,20720.000000,16787.341797,17084400
2012-01-18,21020.000000,21040.000000,20440.000000,20600.000000,16690.115234,15359650
2012-01-19,20760.000000,21440.000000,20740.000000,21440.000000,17370.681641,22385800
2012-01-20,21800.000000,22100.000000,21520.000000,22100.000000,17905.416016,25550800
2012-01-25,21840.000000,22500.000000,21840.000000,22280.000000,18051.248047,22751300
2012-01-26,22320.000000,22420.000000,21880.000000,22260.000000,18035.048828,17655150
2012-01-27,22400.000000,22500.000000,22220.000000,22500.000000,18229.494141,12741200
2012-01-30,22580.000000,22600.000000,22180.000000,22300.000000,18067.453125,16354450
2012-01-31,22100.000000,22400.000000,21780.000000,22140.000000,17937.824219,21731350
2012-02-01,22140.000000,22140.000000,21560.000000,21580.000000,17484.113281,22849650
2012-02-02,21720.000000,22080.000000,21360.000000,21600.000000,17500.316406,22402650
2012-02-03,21420.000000,21680.000000,21120.000000,21320.000000,17273.457031,17801400
2012-02-06,21680.000000,21820.000000,21320.000000,21480.000000,17403.091797,15837500
2012-02-07,21540.000000,21920.000000,21460.000000,21860.000000,17710.968750,11921950
